,hpo,label
290,HP:0011519,o
291,HP:0007641,o
292,HP:0000551,o
293,HP:0000504,o
294,HP:0500021,o
295,HP:0012705,o
296,HP:0410263,o
297,HP:0030161,f
298,HP:0000142,f
299,HP:0000008,f
300,HP:0000812,o
301,HP:0012243,o
302,HP:0000078,o
303,HP:0000119,o
304,HP:0010460,f
305,HP:0000989,o
306,HP:0011122,o
307,HP:0032015,o
308,HP:0000641,o
309,HP:0000570,o
310,HP:0000496,o
311,HP:0003453,o
312,HP:0007792,o
313,HP:0001152,o
314,HP:0000617,o
315,HP:0100255,o
316,HP:0002652,o
317,HP:0001123,o
318,HP:0000505,o
319,HP:5000018,o
320,HP:0032874,o
321,HP:0032685,o
322,HP:0032680,o
323,HP:0032679,o
324,HP:0007359,o
325,HP:0001250,o
326,HP:0033259,o
327,HP:0032756,o
328,HP:0032716,o
329,HP:0002384,o
330,HP:0011146,o
331,HP:0100013,o
332,HP:0011793,o
333,HP:0002664,o
334,HP:0031093,o
335,HP:0000769,o
336,HP:0033030,o
337,HP:0032570,o
338,HP:0007361,o
339,HP:0002363,o
340,HP:0012443,o
341,HP:0002011,o
342,HP:0012639,o
343,HP:0011283,o
344,HP:0011282,o
345,HP:0032325,o
346,HP:0002140,o
347,HP:0001297,o
348,HP:0100659,o
349,HP:0025015,o
350,HP:0002637,o
351,HP:0033401,o
352,HP:0025323,o
353,HP:0030163,o
354,HP:0025722,o
355,HP:0002060,o
356,HP:0100547,o
357,HP:0033483,o
358,HP:0031265,o
359,HP:0031264,o
360,HP:0031263,o
361,HP:0011035,o
362,HP:0012210,o
363,HP:0000077,o
364,HP:0010935,o
365,HP:0000079,o
366,HP:0012575,o
367,HP:0011421,o
368,HP:0011420,o
369,HP:0040006,o
370,HP:0031797,o
371,HP:0012474,o
372,HP:0005344,o
373,HP:0011004,o
374,HP:0033353,o
375,HP:0007270,o
376,HP:0002121,o
377,HP:0002197,o
378,HP:0002135,o
379,HP:0002134,o
380,HP:0010993,o
381,HP:0002514,o
382,HP:0010766,o
